Designator,Val,Package,Mid X,Mid Y,Rotation,Side
"R73","10k","R_0603_1608Metric",170.434000,-92.202000,-90.000000,top
"R74","10k","R_0603_1608Metric",171.958000,-91.948000,-90.000000,top
"R75","10k","R_0603_1608Metric",173.482000,-91.948000,-90.000000,top
"R76","12.4k 1%","R_0603_1608Metric",163.626800,-102.870000,-90.000000,top
"R77","33","R_0603_1608Metric",165.455600,-107.899200,90.000000,top
"R78","33","R_0603_1608Metric",163.022000,-97.486000,0.000000,top
"R79","33","R_0603_1608Metric",162.782000,-100.576000,0.000000,top
"R80","33","R_0603_1608Metric",178.782000,-110.176000,180.000000,top
"R81","100 1%","R_0603_1608Metric",168.656000,-107.950000,-90.000000,top
"R82","100 1%","R_0603_1608Metric",163.068000,-112.014000,-90.000000,top
"R83","100 1%","R_0603_1608Metric",160.662000,-97.186000,-90.000000,top
"R84","100 1%","R_0603_1608Metric",176.482000,-113.576000,-90.000000,top
"R85","10 1%","R_0603_1608Metric",170.180000,-107.696000,-90.000000,top
"R86","1k","R_0603_1608Metric",183.642000,-118.643500,-90.000000,top
"R87","1k","R_0603_1608Metric",182.118000,-109.728000,-90.000000,top
"R88","100 1%","R_0603_1608Metric",178.112000,-113.526000,-90.000000,top
"R89","100 1%","R_0603_1608Metric",159.082000,-98.276000,-90.000000,top
"R90","0","R_0805_2012Metric",156.552000,-105.566000,180.000000,top
"R91","330","R_0603_1608Metric",182.321200,-59.791600,180.000000,top
"R92","1.5k","R_0603_1608Metric",161.721800,-47.523400,0.000000,top
"R93","330","R_0603_1608Metric",180.441600,-49.682400,-90.000000,top
"R94","330","R_0603_1608Metric",185.661800,-61.163200,0.000000,top
"U1","TPS54331DR","SOIC-8_3.9x4.9mm_P1.27mm",110.083600,-76.314300,0.000000,top
"U2","TPS54331DR","SOIC-8_3.9x4.9mm_P1.27mm",110.782100,-97.447100,0.000000,top
"U3","TPS54331DR","SOIC-8_3.9x4.9mm_P1.27mm",141.927580,-79.479140,-90.000000,top
"U4","XC6206PxxxMR","SOT-23",144.780000,-100.025200,90.000000,top
"U5","Si4463","QFN-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias",167.259000,-73.025000,-90.000000,top
"U6","SRV05-4","SOT-23-6",147.193000,-127.762000,180.000000,top
"U7","23LC1024","SOIC-8_3.9x4.9mm_P1.27mm",158.800800,-92.227400,180.000000,top
"U8","STM32L432KC","QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm",167.760000,-83.446000,180.000000,top
"U9","SRV05-4","SOT-23-6",131.064000,-104.546400,90.000000,top
"U10","MHW720A","MHW720A",134.874000,-37.871400,0.000000,top
"U11","CH340G","SOIC-16_3.9x9.9mm_P1.27mm",147.523200,-118.135400,90.000000,top
"U12","XC6206PxxxMR","SOT-23",148.437600,-96.316800,180.000000,top
"U13","XC6206PxxxMR","SOT-23",155.917900,-85.140800,180.000000,top
"U14","PSA4-5043 (SPF5043Z)","SOT-343_SC-70-4-widepad_Handsoldering",160.225500,-52.200500,-90.000000,top
"U15","74HC04","SOIC-14_3.9x8.7mm_P1.27mm",175.704500,-59.423300,90.000000,top
"U16","XC6206PxxxMR","SOT-23",152.349200,-75.184000,-90.000000,top
"U17","B39431B3710U410","DCC6C",166.624000,-59.309000,-90.000000,top
"U18","W5500","LQFP-48_7x7mm_P0.5mm",171.958000,-100.330000,0.000000,top
"Y1","25 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",181.014000,-97.620000,90.000000,top
"Y2","32.768K","Crystal_SMD_3215-2Pin_3.2x1.5mm",174.244000,-84.836000,-90.000000,top
"Y3","12M","Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm",155.194000,-119.507000,180.000000,top
"Y4","30M","Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm",172.974000,-74.218800,-90.000000,top
